unit,landuse,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
KM2,L0008,AT11	3681.1 	3681.2 	3681.2 	3681.2 	3669.9 	3669.9 	3669.8 	3669.8 	3669.0 	3669.0 	3669.0 	3669.0 
KM2,L0008,AT12	18928.6 	18925.6 	18925.6 	18925.6 	18929.1 	18929.1 	18921.0 	18921.0 	18917.0 	18917.0 	18917.0 	18917.0 
KM2,L0008,AT13	395.6 	395.6 	395.6 	395.6 	396.1 	396.1 	395.5 	395.5 	395.0 	395.0 	395.0 	395.0 
KM2,L0008,AT21	9364.0 	9363.8 	9363.8 	9363.8 	9368.0 	9365.0 	9362.5 	9362.5 	9360.0 	9360.0 	9360.0 	9360.0 
KM2,L0008,AT22	16247.2 	16246.2 	16246.2 	16246.2 	16252.6 	16252.6 	16252.2 	16252.2 	16251.0 	16251.0 	16251.0 	16251.0 
KM2,L0008,AT31	11724.1 	11721.9 	11721.9 	11721.9 	11719.2 	11719.2 	11717.5 	11717.5 	11717.0 	11717.0 	11717.0 	11717.0 
KM2,L0008,AT32	7052.9 	7052.6 	7052.6 	7052.6 	7053.7 	7053.7 	7051.0 	7051.0 	7050.0 	7050.0 	7050.0 	7050.0 
KM2,L0008,AT33	12528.9 	12528.5 	12528.5 	12528.5 	12515.4 	12515.4 	12514.4 	12514.4 	12514.0 	12514.0 	12514.0 	12514.0 
KM2,L0008,AT34	2535.5 	2534.8 	2534.8 	2534.8 	2533.8 	2533.8 	2533.6 	2533.6 	2534.0 	2534.0 	2534.0 	2534.0 
KM2,L0008,BE10	161.0 	161.0 	161.0 	161.0 	161 	161 	160 	161 	161 	161 	161.0 	161.0 
KM2,L0008,BE21	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2834.0 	2796.0 	2796.0 	2796.0 	2796.0 	2796.0 
KM2,L0008,BE22	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2392.0 	2388.0 	2388.0 	2388.0 	2388.0 	2388.0 
KM2,L0008,BE23	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2963.0 	2948.0 	2948.0 	2948.0 	2948.0 	2948.0 
KM2,L0008,BE24	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2096.0 	2102.0 	2102.0 	2102.0 	2102.0 	2102.0 
KM2,L0008,BE25	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3134.0 	3126.0 	3126.0 	3126.0 	3126.0 	3126.0 
KM2,L0008,BE31	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1086.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 
KM2,L0008,BE32	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3769.0 	3775.0 	3775.0 	3775.0 	3775.0 	3775.0 
KM2,L0008,BE33	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3855.0 	3844.0 	3844.0 	3844.0 	3844.0 	3844.0 
KM2,L0008,BE34	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4430.0 	4439.0 	4439.0 	4439.0 	4439.0 	4439.0 
KM2,L0008,BE35	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3658.0 	3655.0 	3655.0 	3655.0 	3655.0 	3655.0 
KM2,L0008,BG31	: 	: 	: 	: 	: 	: 	18639.9 	18640.6 b	18640.6 	18640.6 	18640.0 	18622.0 
KM2,L0008,BG32	: 	: 	: 	: 	: 	: 	14707.9 	14538.2 b	14538.2 	14538.2 	14708.0 	14398.0 
KM2,L0008,BG33	: 	: 	: 	: 	: 	: 	14315.9 	14464.5 b	14464.5 	14464.5 	14316.0 	14467.0 
KM2,L0008,BG34	: 	: 	: 	: 	: 	: 	19363.4 	19398.6 b	19398.6 	19398.6 	19363.0 	19270.0 
KM2,L0008,BG41	: 	: 	: 	: 	: 	: 	20098.5 	20039.2 b	20039.2 	20039.2 	20099.0 	19820.0 
KM2,L0008,BG42	: 	: 	: 	: 	: 	: 	21865.9 	21850.9 b	21850.9 	21850.9 	21866.0 	21819.0 
KM2,L0008,CH01	8281.9 	8282.0 	8282.1 	8282.1 	8282.1 	8282.1 	8282.1 	8282.1 	8282.1 	8282.1 	8282.2 	8281.0 
