"region";"alder";"ar";"xxx";"count"
"30 Viken";"000 0 ar";"2022";"Personer";12620
"30 Viken";"001 1 ar";"2022";"Personer";12512
"30 Viken";"002 2 ar";"2022";"Personer";13203
"30 Viken";"003 3 ar";"2022";"Personer";13727
"30 Viken";"004 4 ar";"2022";"Personer";14003
"30 Viken";"005 5 ar";"2022";"Personer";14699
"30 Viken";"006 6 ar";"2022";"Personer";14954
"30 Viken";"007 7 ar";"2022";"Personer";15034
"30 Viken";"008 8 ar";"2022";"Personer";15056
"30 Viken";"009 9 ar";"2022";"Personer";15683
"30 Viken";"010 10 ar";"2022";"Personer";15719
"30 Viken";"011 11 ar";"2022";"Personer";16239
"30 Viken";"012 12 ar";"2022";"Personer";16646
"30 Viken";"013 13 ar";"2022";"Personer";16498
"30 Viken";"014 14 ar";"2022";"Personer";16055
"30 Viken";"015 15 ar";"2022";"Personer";16248
"30 Viken";"016 16 ar";"2022";"Personer";15791
"30 Viken";"017 17 ar";"2022";"Personer";15969
"30 Viken";"018 18 ar";"2022";"Personer";15709
"30 Viken";"019 19 ar";"2022";"Personer";14971
"30 Viken";"020 20 ar";"2022";"Personer";14241
"30 Viken";"021 21 ar";"2022";"Personer";14003
"30 Viken";"022 22 ar";"2022";"Personer";13690
"30 Viken";"023 23 ar";"2022";"Personer";13204
"30 Viken";"024 24 ar";"2022";"Personer";13434
"30 Viken";"025 25 ar";"2022";"Personer";13513
"30 Viken";"026 26 ar";"2022";"Personer";13651
"30 Viken";"027 27 ar";"2022";"Personer";13688
"30 Viken";"028 28 ar";"2022";"Personer";14427
"30 Viken";"029 29 ar";"2022";"Personer";14854
"30 Viken";"030 30 ar";"2022";"Personer";15470
"30 Viken";"031 31 ar";"2022";"Personer";16264
"30 Viken";"032 32 ar";"2022";"Personer";16595
"30 Viken";"033 33 ar";"2022";"Personer";16770
"30 Viken";"034 34 ar";"2022";"Personer";16753
"30 Viken";"035 35 ar";"2022";"Personer";16713
"30 Viken";"036 36 ar";"2022";"Personer";16922
"30 Viken";"037 37 ar";"2022";"Personer";16885
"30 Viken";"038 38 ar";"2022";"Personer";17161
"30 Viken";"039 39 ar";"2022";"Personer";17232
"30 Viken";"040 40 ar";"2022";"Personer";16997
"30 Viken";"041 41 ar";"2022";"Personer";17395
"30 Viken";"042 42 ar";"2022";"Personer";17265
"30 Viken";"043 43 ar";"2022";"Personer";17473
"30 Viken";"044 44 ar";"2022";"Personer";16990
"30 Viken";"045 45 ar";"2022";"Personer";17271
"30 Viken";"046 46 ar";"2022";"Personer";17970
"30 Viken";"047 47 ar";"2022";"Personer";18959
"30 Viken";"048 48 ar";"2022";"Personer";18559
"30 Viken";"049 49 ar";"2022";"Personer";19343
"30 Viken";"050 50 ar";"2022";"Personer";19172
"30 Viken";"051 51 ar";"2022";"Personer";18822
"30 Viken";"052 52 ar";"2022";"Personer";19033
"30 Viken";"053 53 ar";"2022";"Personer";19169
"30 Viken";"054 54 ar";"2022";"Personer";18156
"30 Viken";"055 55 ar";"2022";"Personer";18220
"30 Viken";"056 56 ar";"2022";"Personer";17806
"30 Viken";"057 57 ar";"2022";"Personer";17321
"30 Viken";"058 58 ar";"2022";"Personer";16374
"30 Viken";"059 59 ar";"2022";"Personer";15973
"30 Viken";"060 60 ar";"2022";"Personer";15380
"30 Viken";"061 61 ar";"2022";"Personer";15140
"30 Viken";"062 62 ar";"2022";"Personer";14865
"30 Viken";"063 63 ar";"2022";"Personer";14616
"30 Viken";"064 64 ar";"2022";"Personer";14215
"30 Viken";"065 65 ar";"2022";"Personer";14055
"30 Viken";"066 66 ar";"2022";"Personer";13309
"30 Viken";"067 67 ar";"2022";"Personer";13098
"30 Viken";"068 68 ar";"2022";"Personer";12714
"30 Viken";"069 69 ar";"2022";"Personer";12169
"30 Viken";"070 70 ar";"2022";"Personer";11577
"30 Viken";"071 71 ar";"2022";"Personer";11805
"30 Viken";"072 72 ar";"2022";"Personer";11876
"30 Viken";"073 73 ar";"2022";"Personer";11928
"30 Viken";"074 74 ar";"2022";"Personer";12263
"30 Viken";"075 75 ar";"2022";"Personer";12885
"30 Viken";"076 76 ar";"2022";"Personer";10895
"30 Viken";"077 77 ar";"2022";"Personer";10443
"30 Viken";"078 78 ar";"2022";"Personer";8524
"30 Viken";"079 79 ar";"2022";"Personer";7537
"30 Viken";"080 80 ar";"2022";"Personer";6266
"30 Viken";"081 81 ar";"2022";"Personer";6358
"30 Viken";"082 82 ar";"2022";"Personer";5801
"30 Viken";"083 83 ar";"2022";"Personer";5340
"30 Viken";"084 84 ar";"2022";"Personer";4837
"30 Viken";"085 85 ar";"2022";"Personer";4132
"30 Viken";"086 86 ar";"2022";"Personer";3489
"30 Viken";"087 87 ar";"2022";"Personer";3134
"30 Viken";"088 88 ar";"2022";"Personer";2800
"30 Viken";"089 89 ar";"2022";"Personer";2586
"30 Viken";"090 90 ar";"2022";"Personer";2266
"30 Viken";"091 91 ar";"2022";"Personer";1963
"30 Viken";"092 92 ar";"2022";"Personer";1475
"30 Viken";"093 93 ar";"2022";"Personer";1185
"30 Viken";"094 94 ar";"2022";"Personer";906
"30 Viken";"095 95 ar";"2022";"Personer";753
"30 Viken";"096 96 ar";"2022";"Personer";560
"30 Viken";"097 97 ar";"2022";"Personer";367
"30 Viken";"098 98 ar";"2022";"Personer";251
"30 Viken";"099 99 ar";"2022";"Personer";156
"30 Viken";"100 100 ar";"2022";"Personer";98
"30 Viken";"101 101 ar";"2022";"Personer";63
"30 Viken";"102 102 ar";"2022";"Personer";37
"30 Viken";"103 103 ar";"2022";"Personer";17
"30 Viken";"104 104 ar";"2022";"Personer";8
"30 Viken";"105+ 105 ar eller eldre";"2022";"Personer";14
"03 Oslo";"000 0 ar";"2022";"Personer";9137
"03 Oslo";"001 1 ar";"2022";"Personer";8119
"03 Oslo";"002 2 ar";"2022";"Personer";7891
"03 Oslo";"003 3 ar";"2022";"Personer";7375
"03 Oslo";"004 4 ar";"2022";"Personer";7456
"03 Oslo";"005 5 ar";"2022";"Personer";7418
"03 Oslo";"006 6 ar";"2022";"Personer";7118
"03 Oslo";"007 7 ar";"2022";"Personer";7450
"03 Oslo";"008 8 ar";"2022";"Personer";7087
"03 Oslo";"009 9 ar";"2022";"Personer";7290
"03 Oslo";"010 10 ar";"2022";"Personer";7259
"03 Oslo";"011 11 ar";"2022";"Personer";7235
"03 Oslo";"012 12 ar";"2022";"Personer";7283
"03 Oslo";"013 13 ar";"2022";"Personer";7059
"03 Oslo";"014 14 ar";"2022";"Personer";6970
"03 Oslo";"015 15 ar";"2022";"Personer";6799
"03 Oslo";"016 16 ar";"2022";"Personer";6635
"03 Oslo";"017 17 ar";"2022";"Personer";6536
"03 Oslo";"018 18 ar";"2022";"Personer";6526
"03 Oslo";"019 19 ar";"2022";"Personer";6744
"03 Oslo";"020 20 ar";"2022";"Personer";7437
"03 Oslo";"021 21 ar";"2022";"Personer";8498
"03 Oslo";"022 22 ar";"2022";"Personer";9251
"03 Oslo";"023 23 ar";"2022";"Personer";9952
"03 Oslo";"024 24 ar";"2022";"Personer";11330
"03 Oslo";"025 25 ar";"2022";"Personer";13192
"03 Oslo";"026 26 ar";"2022";"Personer";14495
"03 Oslo";"027 27 ar";"2022";"Personer";15109
"03 Oslo";"028 28 ar";"2022";"Personer";15445
"03 Oslo";"029 29 ar";"2022";"Personer";15813
"03 Oslo";"030 30 ar";"2022";"Personer";15750
"03 Oslo";"031 31 ar";"2022";"Personer";15810
"03 Oslo";"032 32 ar";"2022";"Personer";15235
"03 Oslo";"033 33 ar";"2022";"Personer";14593
"03 Oslo";"034 34 ar";"2022";"Personer";13543
"03 Oslo";"035 35 ar";"2022";"Personer";13031
"03 Oslo";"036 36 ar";"2022";"Personer";12222
"03 Oslo";"037 37 ar";"2022";"Personer";11819
"03 Oslo";"038 38 ar";"2022";"Personer";11197
"03 Oslo";"039 39 ar";"2022";"Personer";10972
"03 Oslo";"040 40 ar";"2022";"Personer";10578
"03 Oslo";"041 41 ar";"2022";"Personer";10631
"03 Oslo";"042 42 ar";"2022";"Personer";10044
"03 Oslo";"043 43 ar";"2022";"Personer";9725
"03 Oslo";"044 44 ar";"2022";"Personer";9416
"03 Oslo";"045 45 ar";"2022";"Personer";9423
"03 Oslo";"046 46 ar";"2022";"Personer";9458
"03 Oslo";"047 47 ar";"2022";"Personer";9431
"03 Oslo";"048 48 ar";"2022";"Personer";9087
"03 Oslo";"049 49 ar";"2022";"Personer";9154
"03 Oslo";"050 50 ar";"2022";"Personer";9004
"03 Oslo";"051 51 ar";"2022";"Personer";8730
"03 Oslo";"052 52 ar";"2022";"Personer";8587
"03 Oslo";"053 53 ar";"2022";"Personer";8279
"03 Oslo";"054 54 ar";"2022";"Personer";8014
"03 Oslo";"055 55 ar";"2022";"Personer";7971
"03 Oslo";"056 56 ar";"2022";"Personer";7815
"03 Oslo";"057 57 ar";"2022";"Personer";7645
"03 Oslo";"058 58 ar";"2022";"Personer";7294
"03 Oslo";"059 59 ar";"2022";"Personer";6967
"03 Oslo";"060 60 ar";"2022";"Personer";6675
"03 Oslo";"061 61 ar";"2022";"Personer";6686
"03 Oslo";"062 62 ar";"2022";"Personer";6345
"03 Oslo";"063 63 ar";"2022";"Personer";6250
"03 Oslo";"064 64 ar";"2022";"Personer";6022
"03 Oslo";"065 65 ar";"2022";"Personer";5738
"03 Oslo";"066 66 ar";"2022";"Personer";5461
"03 Oslo";"067 67 ar";"2022";"Personer";5370
"03 Oslo";"068 68 ar";"2022";"Personer";5083
"03 Oslo";"069 69 ar";"2022";"Personer";4890
