,t,p
0,0.0,-1.0776840209961414
1,0.005,-0.9334884643554879
2,0.01,-0.9563766479492379
3,0.015,-0.9632431030273914
4,0.02,-0.8648239135741882
5,0.025,-0.7801376342773914
6,0.03,-0.7572494506835916
7,0.035,-0.7595382690429382
8,0.04,-0.6565414428711414
9,0.045,-0.5375228881835596
10,0.05,-0.6153427124023096
11,0.055,-0.7160507202148096
12,0.06,-0.6153427124023594
13,0.065,-0.47801361083980964
14,0.07,-0.5604110717773416
15,0.075,-0.6931625366210596
16,0.08,-0.6336532592773594
17,0.085,-0.5626998901366882
18,0.09,-0.6359420776367379
19,0.095,-0.7458053588867379
20,0.1,-0.7320724487304879
21,0.105,-0.7046066284179595
22,0.11,-0.8739791870117379
23,0.115,-1.1097274780273096
24,0.12,-1.1143051147460596
25,0.125,-1.0845504760741882
26,0.13,-1.2058578491211094
27,0.135,-1.345475769042988
28,0.14,-1.3065658569336094
29,0.145,-1.3065658569336414
30,0.15,-1.4530502319335916
31,0.155,-1.5720687866211414
32,0.16,-1.5926681518555093
33,0.165,-1.6292892456055093
34,0.17,-1.7414413452148416
35,0.17500000000000002,-1.7780624389648914
36,0.18,-1.7483078002929382
37,0.185,-1.7711959838866882
38,0.19,-1.8467269897461094
39,0.195,-1.9543014526366882
40,0.2,-1.935990905761738
41,0.20500000000000002,-1.890214538574238
42,0.21,-1.9565902709960596
43,0.215,-2.0298324584960916
44,0.22,-2.0092330932617593
45,0.225,-1.9611679077148914
46,0.23,-1.9794784545898594
47,0.23500000000000001,-1.977189636230488
48,0.24,-1.7711959838866882
49,0.245,-1.4919601440429595
50,0.25,-1.1898361206054382
51,0.255,-0.7320724487304595
52,0.26,-0.04542694091800925
53,0.265,0.6206192016601904
54,0.27,1.1790908813476904
55,0.275,1.7375625610351406
56,0.28,2.312055969238312
57,0.28500000000000003,2.820173645019512
58,0.29,3.1108535766601904
59,0.295,3.4083999633789084
60,0.3,3.754011535644519
61,0.305,3.930250549316419
62,0.31,3.8982070922852188
63,0.315,3.838697814941419
64,0.32,3.8890518188477188
65,0.325,3.9439834594726193
66,0.33,3.712812805175819
67,0.335,3.410688781738319
68,0.34,3.250471496582019
69,0.34500000000000003,3.117720031738312
70,0.35000000000000003,2.8499282836913906
71,0.355,2.605024719238262
72,0.36,2.5157608032226904
73,0.365,2.4287857055664404
74,0.37,2.1999038696289404
75,0.375,2.087751770019512
76,0.38,2.1037734985351406
77,0.385,2.119795227050812
78,0.39,2.0808853149413906
79,0.395,2.083174133300762
80,0.4,2.151838684082019
81,0.405,2.206770324707019
82,0.41000000000000003,2.199903869628919
83,0.41500000000000004,2.2502578735351193
84,0.42,2.364698791503919
85,0.425,2.5066055297851193
86,0.43,2.5111831665038196
87,0.435,2.502027893066419
88,0.44,2.639356994628919
89,0.445,2.7263320922851193
90,0.45,2.639356994628919
91,0.455,2.621046447753919
92,0.46,2.7881301879882194
93,0.465,2.8613723754882194
94,0.47000000000000003,2.7698196411132194
95,0.47500000000000003,2.655378723144519
96,0.48,2.6691116333007194
97,0.485,2.6393569946288196
98,0.49,2.440229797363319
99,0.495,2.2662796020507194
100,0.5,2.252546691894519
101,0.505,2.0282424926757194
102,0.51,1.7352737426758118
103,0.515,1.565901184082012
104,0.52,1.451460266113262
105,0.525,1.3118423461914404
106,0.53,1.1768020629883118
107,0.535,1.0692276000976086
108,0.54,1.1378921508789404
109,0.545,1.1333145141601406
110,0.55,1.0074295043944907
111,0.555,1.0257400512694907
112,0.56,1.1905349731445618
113,0.5650000000000001,1.2569107055664404
114,0.5700000000000001,1.2019790649413906
115,0.5750000000000001,1.1745132446288906
116,0.58,1.3118423461914084
117,0.585,1.396528625488262
118,0.59,1.3553298950195618
119,0.595,1.3301528930663586
120,0.6,1.4033950805664404
121,0.605,1.4354385375976904
122,0.61,1.3553298950195405
123,0.615,1.2775100708008118
124,0.62,1.3461746215820405
125,0.625,1.3576187133788906
126,0.63,1.2752212524413906
127,0.635,1.2294448852538906
128,0.64,1.2569107055663586
129,0.645,1.2202896118163906
130,0.65,1.0440505981445618
131,0.655,0.9593643188476904
132,0.66,0.9982742309570618
133,0.665,0.8952774047851406
134,0.67,0.7098831176757621
135,0.675,0.6480850219726406
136,0.68,0.7098831176757621
137,0.685,0.6641067504882621
138,0.6900000000000001,0.5107559204101406
139,0.6950000000000001,0.49702301025394036
140,0.7000000000000001,0.6457962036132621
141,0.705,0.6114639282226904
142,0.71,0.48329010009760864
143,0.715,0.41004791259769036
144,0.72,0.4764236450195618
145,0.725,0.4924453735351406
146,0.73,0.3642715454101584
147,0.735,0.2864517211913906
148,0.74,0.3505386352538906
149,0.745,0.3665603637695618
150,0.75,0.2727188110351406
151,0.755,0.21320953369139062
152,0.76,0.30018463134769036
153,0.765,0.2864517211913906
154,0.77,0.13996734619139062
155,0.775,0.05299224853515838
156,0.78,0.1376785278320405
157,0.785,0.0552810668945618
158,0.79,-0.12553558349605964
159,0.795,-0.20106658935550925
160,0.8,-0.11638031005860938
161,0.805,-0.07289276123048793
162,0.81,-0.2628646850586094
163,0.8150000000000001,-0.30406341552730964
164,0.8200000000000001,-0.19877777099610938
